,Title,Author,Story Summary,chapter Amount
334,The Investigation,Elias_Pedro," When the psychological horror drama at Hololive's Haachama Channel started getting out of hand, the Hololive JP Office sought help from their English branch's resident detective, Amelia Watson to uncover the truth.However, this investigation will not be as straightforward as it seems.    ",1
335,I Can't Believe My Wife is a War Criminal! (and a VTuber or Something),lightningstormtc," Takamura Kei was just a normal guy with an unlucky streak. Shortly after his parents died in a horrific car crash, he was laid off from his job as an engineer. His parents left a note saying that they had one thing left to give him. Little did he know, that last gift was an arranged marriage with one of the most powerful and dangerous people in the world: Usada Pekora.    ",6
336,Is there anyone you like?,Magetro21, ,1
337,Goodnight I love you,Magetro21, Two dorks about to sleep but couldn't resist to check up on each other    ,1
338,Hands,Tripsout2 (Azureshadowmoon), There are two hands on the clock. Amelia wants to keep it that way.    ,1
339,Bae gives a concert and Irys is also there,SumDumMuffin, Bae gets support from a beloved senpai in a concert.    ,1
340,A Massage for Your Thoughts?,Meowlordfur," This is a removed scene from chapter 39 of Among the Myths. It starts rather abruptly, so you may be a little lost if you don't read chapter 39 to see where exactly it begins. There's some spoilers for Among the Myths in this, but if you don't mind that, then I think it should be understandable enough to read stand alone.Premise is that Amelia is stressing out due to factors out of her control, so to try and get her to relax, Ina decides to give her a massage, and maybe a little extra on top of that...    ",1
341,Furnace,Cosmata, Amelia has a question for Kiara. She might have to work a little bit to get an answer.    ,2
342,Hollow Lives,"FreezingKaiju, FrenchScreaming"," The graduates of Kisaragi High, full of promise and plans and dreams, have fallen apart, turned on each other, and gone their seperate ways.Ninomae Ina'nis, shrine maiden, has taken on her father's responsibilities at the Ninomae Shrine, a job that tires her enough to sleep through most of her part time job.Calliope Mori, girlboss turned girl-wage-slave, has enough jobs to afford a better place than she lives, but something's gotta pay those student loans, even if it leaves her dead on her feet.Kiara Takanashi, lowly KFC employee, just wants to be alone with her family's farm and her memories of when there were others at the table.Gawr Gura, honor student to the last, tries to fill the hole in her heart with a Master's Degree in anything, anything at all. And Amelia Watson, wash-up, drop-out, failure they always said she was, lays on the carpet and tries to figure out why the world feels so...wrong.Why it feels like she's being watched.Where all the time's gone, and why it feels like it's stopped.    ",2
343,Tako Tops Tuesdays,velvet_plush, Ina’s been in a serious art block for the past week. She ropes Gura into helping her overcome it.    ,2
344,My Birb!,StoryCorner," Kiara, Calli, Mumei and Kronii came across one another during their Date Days. Which turns to a small vocal fight between the Apprentice of Death and Warden of Time...    ",1
345,The Lie Detector,Kousaka_Erena," Korone wounds up bored and forces Gura and her pal, Watson, to join in on an unplanned stream.    ",1
346,The proposal,KagamiWatsuki, ,1
347,bite diff,chronekko, Amelia has a few gripes.    ,1
348,My Birb!,StoryCorner," Kiara, Calli, Mumei and Kronii came across one another during their Date Days. Which turns to a small vocal fight between the Apprentice of Death and Warden of Time...    ",1
349,The Twelve (Delayed) Days of Christmas,WordsAndBlossoms," A very short Polymyth ship for each day.  1. Takamori- Falling Forever2. Takotori- Icarus' life, it has only just begun3. Ametori- Burn the Sky Away, Then Heal It With a Touch4. Amemori- Getting Lost and Being Found Here5. Polymyth- Four Fifths and One More6. Amesame- alight in the moment (a light in the dark)7. Sametori- Love Bites and Claws8. Inasana- A little thing called ""Destiny""9. Inasame- Three Minds, One Love10. Inamori- If actions speak a thousand words, your embrace would be a novel11. Samemori- A pair of insomniacs12. Iname- Emotions Like Petals Ina murmurs something against her lips, but it only comes out as a puff of breath and a faint tremble. It's lost to those feelings as they move ever closer and press to each other. Ina's kiss is sweet, but she teases Amelia with the slightest touch of fangs. They graze her skin and just the sensation makes her shiver. It's bruising, not the action- no, that's so full of love that it makes Amelia's heart want to burst- but the message hidden behind it. Ina is toying with her, using hints of teeth and occasional sharp touches because she knows what it does to Amelia.    ",12
350,The Club,The_Architect_Of_Light," Just a small piece I thought up while trying to get some sleep. Nothing super special. Hope you like it, dear reader.    ",1
351,this doesn't seem so bad,DonLucky," No! Work first, cuddle later.    ",1
352,I Can't Believe My Wife is a War Criminal! (and a VTuber or Something),lightningstormtc," Takamura Kei was just a normal guy with an unlucky streak. Shortly after his parents died in a horrific car crash, he was laid off from his job as an engineer. His parents left a note saying that they had one thing left to give him. Little did he know, that last gift was an arranged marriage with one of the most powerful and dangerous people in the world: Usada Pekora.    ",6
353,Cat and Mouse,Tripsout2 (Azureshadowmoon), It's their favorite game to play.    ,1
354,Furnace,Cosmata, Amelia has a question for Kiara. She might have to work a little bit to get an answer.    ,2
355,Hollow Lives,"FreezingKaiju, FrenchScreaming"," The graduates of Kisaragi High, full of promise and plans and dreams, have fallen apart, turned on each other, and gone their seperate ways.Ninomae Ina'nis, shrine maiden, has taken on her father's responsibilities at the Ninomae Shrine, a job that tires her enough to sleep through most of her part time job.Calliope Mori, girlboss turned girl-wage-slave, has enough jobs to afford a better place than she lives, but something's gotta pay those student loans, even if it leaves her dead on her feet.Kiara Takanashi, lowly KFC employee, just wants to be alone with her family's farm and her memories of when there were others at the table.Gawr Gura, honor student to the last, tries to fill the hole in her heart with a Master's Degree in anything, anything at all. And Amelia Watson, wash-up, drop-out, failure they always said she was, lays on the carpet and tries to figure out why the world feels so...wrong.Why it feels like she's being watched.Where all the time's gone, and why it feels like it's stopped.    ",2
356,The Myth Made Word.,RenewedSalt, The story of how the universe was created and how the Hololive Girls fit in. This is my first fic but if this first (long) chapter is well received I have a lot more ideas to develop this further. Let me know what you think. Edit: I've decided to continue this. Work is hectic though so I cant say when I will write the next bit not to mention I want to get a buffer going so updates can be regular after this initial slow period. Im aiming for 100k to 200k words by the end.Re edit: The last two announcement videos from Hololive have kinda made the canon origin story of hololive (Aug 14 2021) so I no longer know how to continue this  and be able to include the new gen. My timing just wasnt great I guess. I may come back once I've learned more about the new girls but for now consider this a one shot.    ,1
357,"Without The Bitter, Sweet Isn't As Sweet",Somarisu, Princess Ina'nis of the Royal Family Ninomae.Suspected murderer/vigilante/thief Amelia Watson.Ina unknowingly dancing with her families worst enemy in a masquerade ball.Amelia unknowingly dancing with the target of her vendetta.They fall in love in waltz.    ,2
358,Everything Stays,Gl1tch3dOracle, Based on the song by Rebecca Sugar    ,1
359,An Ocean Current,Kinome," Ina looked into the rift and Saw the other side. The portal opened at the top of a hill with a view over a pitched battle in the landscape below. Smoke and fog filled the sunless evening air as flashes traded light across two sides of a narrow field. Violent tension rippled through the clouded scenery and Ina shivered at the reverberations of madness reaching out to greet her. She found the source of her fear and trepidation amidst that surreal scene, as if they belonged amongst the choking chaos and blood soaked fields of another time.    ",2
360,Fleeting Memories,Gl1tch3dOracle," “Ina? What happened?” Amelia finally took in the new appendages her girlfriend had seemingly grown overnight. The priestess didn’t say anything, instead choosing to awkwardly clamber into Amelia’s room, wrapping her arms around her girlfriend.“Ame… I may’ve done something I might regret,” Ina whispered hoarsely in her ear. Behind her, a purple-cover bound book floated after their priestess.    ",1
361,parasol,minroll, Gura gets a visit from someone special.    ,1
362,404 Friend Not Found,SugoiBoi," Everyone's favorite orange idol, Momosuzu Nene, also gets isekai'd a second time. Instead of being in the middle of the battlefield, however, she appears in the G&K Headquarters. Her reception to the situation is... different from Reine.    ",3
363,we wasted all our free time alone,helpisontheway," Nobody understands time like Amelia Watson. Her friends are willing to try, though. They manage to get closer.    ",1
